TrueClass,PredictedClass,Discriminants
Kecimen,Besni,"{'Besni': -1.666674157895664, 'Kecimen': -2.4492722213287554}"
Kecimen,Besni,"{'Besni': -1.0096324939539538, 'Kecimen': -1.2045607717182587}"
Kecimen,Besni,"{'Besni': -1.6019029897774382, 'Kecimen': -2.838835978313973}"
Kecimen,Kecimen,"{'Besni': -4.9071459084572915, 'Kecimen': -1.049423859792946}"
Kecimen,Kecimen,"{'Besni': -6.800846100316084, 'Kecimen': -4.777829390677456}"
Kecimen,Kecimen,"{'Besni': -4.252628926148745, 'Kecimen': -1.1828319703043153}"
Kecimen,Kecimen,"{'Besni': -5.923821776466976, 'Kecimen': -2.4068947550724404}"
Kecimen,Kecimen,"{'Besni': -3.6426446933353738, 'Kecimen': -0.5968585119176459}"
Kecimen,Kecimen,"{'Besni': -5.394961635200266, 'Kecimen': -2.200339495759053}"
Kecimen,Kecimen,"{'Besni': -3.4676704884256058, 'Kecimen': -1.5344190290934476}"
Kecimen,Besni,"{'Besni': -0.7100977985827178, 'Kecimen': -1.6812265395576282}"
Kecimen,Kecimen,"{'Besni': -5.4144568146046215, 'Kecimen': -1.5123074219555726}"
Kecimen,Kecimen,"{'Besni': -6.689314018842396, 'Kecimen': -1.8451833557819122}"
Kecimen,Kecimen,"{'Besni': -9.351210641408683, 'Kecimen': -6.44357731680573}"
Kecimen,Kecimen,"{'Besni': -1.2377487508649265, 'Kecimen': -0.8336553259364277}"
Kecimen,Kecimen,"{'Besni': -9.663609046009599, 'Kecimen': -4.751829405385086}"
Kecimen,Kecimen,"{'Besni': -3.1758451552919675, 'Kecimen': -2.5777867164644332}"
Kecimen,Kecimen,"{'Besni': -2.5920649111354326, 'Kecimen': -0.45322499006284156}"
Kecimen,Kecimen,"{'Besni': -5.888936035360189, 'Kecimen': -1.8983460266999468}"
Kecimen,Kecimen,"{'Besni': -2.12317707976596, 'Kecimen': -1.7851889616663736}"
Kecimen,Kecimen,"{'Besni': -2.1581024438526883, 'Kecimen': -0.8351270275816904}"
Kecimen,Kecimen,"{'Besni': -2.9978647756477184, 'Kecimen': -0.16069831338842933}"
Kecimen,Kecimen,"{'Besni': -2.381436231473513, 'Kecimen': -1.6469575301011985}"
Kecimen,Kecimen,"{'Besni': -19.76560383280674, 'Kecimen': -15.465745527953555}"
Kecimen,Besni,"{'Besni': -2.3293460379540782, 'Kecimen': -2.559479494921656}"
Kecimen,Kecimen,"{'Besni': -1.9805920211040673, 'Kecimen': -0.7227723983468388}"
Kecimen,Kecimen,"{'Besni': -6.216341500600681, 'Kecimen': -3.4204473186715485}"
Kecimen,Kecimen,"{'Besni': -2.2267398836721606, 'Kecimen': -0.17554746975657076}"
Kecimen,Kecimen,"{'Besni': -8.585051684686917, 'Kecimen': -6.081920650195835}"
Kecimen,Kecimen,"{'Besni': -3.1119042172077425, 'Kecimen': -1.0500045788270458}"
Kecimen,Besni,"{'Besni': -1.4466853005006124, 'Kecimen': -1.8367099309028503}"
Kecimen,Kecimen,"{'Besni': -5.94049345763378, 'Kecimen': -2.4073658422549484}"
Kecimen,Kecimen,"{'Besni': -2.173086703043943, 'Kecimen': -1.2814347759004767}"
